research_id,113,,,,,,,,,,,,,,,,
experiment_design,within-subject,,,,,,,,,,,,,,,,
number_of_experimental_conditions,1,,,,,,,,,,,,,,,,
number_of_participants,24,,,,,,,,,,,,,,,,
number_of_entries,24,,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,
participant_id,visual_display,experimental_condition,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,date
1,3D Graphics - HMD VR/MR,Whole,-2,2,-3,2,2,1,2,1,2,-3,0,1,0,-1,
2,3D Graphics - HMD VR/MR,Whole,-1,-2,2,1,-1,-1,-2,-3,0,2,1,0,1,-1,
3,3D Graphics - HMD VR/MR,Whole,2,3,3,2,-1,2,0,-3,2,1,1,-2,-1,1,
4,3D Graphics - HMD VR/MR,Whole,2,-1,1,2,-2,1,-2,1,3,-1,3,-2,3,1,
5,3D Graphics - HMD VR/MR,Whole,-1,1,0,1,0,3,0,-3,2,3,1,0,-1,3,
6,3D Graphics - HMD VR/MR,Whole,-2,3,3,2,-2,1,3,0,3,0,-3,-2,-1,-2,
7,3D Graphics - HMD VR/MR,Whole,-3,3,-1,-2,-1,0,3,1,-2,0,-2,-1,1,1,
8,3D Graphics - HMD VR/MR,Whole,1,-2,-2,2,-3,1,0,2,-3,-2,0,2,0,-3,
9,3D Graphics - HMD VR/MR,Whole,-1,3,-1,-3,1,-3,1,-2,3,3,2,-3,1,3,
10,3D Graphics - HMD VR/MR,Whole,3,3,0,0,1,-1,2,3,3,0,1,-1,-2,3,
11,3D Graphics - HMD VR/MR,Whole,3,3,2,-3,3,-1,1,0,2,-2,1,1,3,2,
12,3D Graphics - HMD VR/MR,Whole,2,0,1,-2,1,-1,0,3,-2,0,3,-2,1,2,
13,3D Graphics - HMD VR/MR,Whole,-1,2,3,1,-1,3,-3,2,-1,-3,1,2,0,0,
14,3D Graphics - HMD VR/MR,Whole,2,0,3,-3,-2,2,-1,3,2,2,-1,0,-2,-3,
15,3D Graphics - HMD VR/MR,Whole,-2,0,0,1,1,-3,0,2,2,1,0,0,-3,-2,
16,3D Graphics - HMD VR/MR,Whole,-2,1,0,-1,0,-2,2,-3,1,0,0,3,-1,-3,
17,3D Graphics - HMD VR/MR,Whole,-3,-1,-3,1,-2,-2,2,1,-3,1,0,0,0,-1,
18,3D Graphics - HMD VR/MR,Whole,1,-1,-2,-3,1,2,-3,2,0,1,-3,2,-3,0,
19,3D Graphics - HMD VR/MR,Whole,0,2,0,0,-2,-1,1,2,2,-3,1,2,1,-1,
20,3D Graphics - HMD VR/MR,Whole,-2,2,2,0,3,0,0,-3,3,3,-1,2,-3,2,
21,3D Graphics - HMD VR/MR,Whole,-1,1,0,1,3,0,-3,-3,1,0,3,3,1,3,
22,3D Graphics - HMD VR/MR,Whole,0,3,2,-3,2,1,3,3,-1,-1,-2,2,0,1,
23,3D Graphics - HMD VR/MR,Whole,0,2,2,-2,-3,3,-2,2,-3,3,1,-2,-2,1,
24,3D Graphics - HMD VR/MR,Whole,3,2,-2,-3,-2,1,0,-1,3,0,0,-3,0,-1,
