research_id,113,,,,,,,,,,,,,,,,
experiment_design,between-subject,,,,,,,,,,,,,,,,
number_of_experimental_conditions,2,,,,,,,,,,,,,,,,
number_of_participants,24,,,,,,,,,,,,,,,,
number_of_entries,24,,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,
participant_id,visual_display,experimental_condition,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,date
1,3D Graphics - HMD VR/MR,A,-1,2,0,-3,2,1,0,2,0,-2,-1,2,2,-3,
2,3D Graphics - HMD VR/MR,A,2,3,-2,-2,3,-3,-2,1,-3,-1,0,3,-3,0,
3,3D Graphics - HMD VR/MR,A,1,2,1,1,1,3,1,-1,-2,-3,-3,1,2,-3,
4,3D Graphics - HMD VR/MR,A,-2,1,1,-3,0,2,0,0,1,2,2,-1,2,-2,
5,3D Graphics - HMD VR/MR,A,0,0,1,-2,-2,-2,2,1,0,3,0,-2,-3,3,
6,3D Graphics - HMD VR/MR,A,-1,-2,1,-2,0,1,-2,-1,0,-3,-1,-2,0,-2,
7,3D Graphics - HMD VR/MR,A,-2,-3,-2,3,-2,0,3,-2,-3,2,2,2,-3,-2,
8,3D Graphics - HMD VR/MR,A,-3,1,1,1,0,-2,-3,-1,2,3,0,3,1,-3,
9,3D Graphics - HMD VR/MR,A,-2,2,-3,-1,2,-2,2,3,3,2,2,-1,3,-2,
10,3D Graphics - HMD VR/MR,A,1,3,-3,3,0,2,2,-2,2,-2,2,0,3,-2,
11,3D Graphics - HMD VR/MR,A,3,-2,2,3,1,0,3,3,-1,2,2,-1,-1,1,
12,3D Graphics - HMD VR/MR,A,0,2,-3,-2,0,-2,2,-2,-1,1,0,-3,3,3,
13,3D Graphics - Monoscopic,B,0,-3,2,2,3,-1,1,3,0,3,-1,2,-2,2,
14,3D Graphics - Monoscopic,B,-1,1,1,3,3,2,3,2,1,-3,1,-2,0,2,
15,3D Graphics - Monoscopic,B,-2,-1,-3,0,3,-3,-2,0,3,1,3,0,2,3,
16,3D Graphics - Monoscopic,B,1,1,0,-3,-1,3,1,1,-1,-1,-3,-1,-2,2,
17,3D Graphics - Monoscopic,B,2,3,3,-1,-3,2,2,3,-1,-3,0,0,-3,2,
18,3D Graphics - Monoscopic,B,-3,0,-1,1,-3,1,0,-1,-1,1,-1,3,-2,-3,
19,3D Graphics - Monoscopic,B,3,1,-3,-3,3,2,3,3,-1,-1,-1,-1,-2,-1,
20,3D Graphics - Monoscopic,B,-2,3,-3,-1,-2,1,1,-2,2,-3,1,2,-1,0,
21,3D Graphics - Monoscopic,B,-1,0,-1,1,-1,-2,-3,-1,0,1,3,-1,2,-2,
22,3D Graphics - Monoscopic,B,-2,0,0,-3,-1,2,3,2,3,2,-2,2,1,1,
23,3D Graphics - Monoscopic,B,0,-1,2,-3,-2,1,-2,0,-3,3,-2,3,-1,0,
24,3D Graphics - Monoscopic,B,3,1,-2,-1,-1,0,3,-3,1,-3,2,2,0,0,
