paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,likert_scale,rating_scale,file,standard_total_17
1,1,1,Does engagement with exposure yield better outcomes? Components of presence as a predictor of treatment response for virtual reality exposure therapy for social,Social anxiety; Virtual reality exposure; Presence,41,24,17,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies,Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA;Multilevel model,,Each component subscales were analysed for the relation between presence and anxiety and associations between presence and treatment response. However; only total score reported. ,3,17,Whole Experiment,Whole Study,No,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,M Price; N Mehta; EB Tone; PL Anderson,2011,Journal of anxiety disorders,Elsevier,https://www.sciencedirect.com/science/article/pii/S0887618511000442,https://scholar.google.com/scholar?cites=15287092560747902843&as_sdt=2005&sciodt=0;5&hl=en,5,43628,,,,,,,,,101,12.63,25,4,8,YES,Exposure Therapy,,0.6875,0.04910714,TRUE,0.4275,0.9825,-1.365,0.6425,0.0855,0.245625,-0.34125,0.6425,3D Graphics - HMD VR,7-point,Fair,Each Study,56.6875
2,2,2,Temporal dynamics in the relation between presence and fear in virtual reality,Virtual reality; Presence; Exposure therapy; Behavioral avoidance test; Anxiety disorders; Specific phobia,22,,22,19,38,25.18,5.58,Projection Display,Unknown,Healthcare and clinical therapies;Social Science and psychology,Exposure therapy,Not Mentioned,Not Sure,,,1,Study 1,41.77/2.24,22,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,Strong correlations between presence and fear on the one-item presence measure assessed immediately after each exposure; but not on the IPQ administered at the end of the entire experiment.,1,6,Whole Experiment,Whole Study,No,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,HM Peperkorn; J Diemer; A M�hlberger,2015,Computers in Human Behavior,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563215001260,https://scholar.google.com/scholar?cites=3537788879502462667&as_sdt=2005&sciodt=0;5&hl=en,7,43628,,,,,,,,,30,7.5,10,3,4,YES,Exposure Therapy,,-3.8549998,-0.27535716,TRUE,-1.075,-2.14,-0.64,0.315,-0.215,-0.535,-0.16,0.315,Projection Display,7-point,Fair,Each Study,52.1450002
3,3,3,Influence of personality and individual abilities on the sense of presence experienced in anxiety triggering virtual environments,Individual differences; Anxiety; Personality; Intelligence; Sense of presence; Virtual reality,210,37,173,18,45,23.19,3.76,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual differences,Not Mentioned,Not Sure,,120,1,Study 1,58,210,Aug-29,60/113,19/18,34/45,22.35/23.58,2.67/4.12,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,3,17,Whole Experiment,Whole Study,No,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,I Alsina-Jurnet; J Guti�rrez-Maldonado,2010,International journal of human��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581910000868,https://scholar.google.com/scholar?cites=2159830824679308184&as_sdt=2005&sciodt=0;5&hl=en,57,43628,,,,,,,,,78,8.67,39,2,9,YES,Individual Difference,,-10.08,-0.72,TRUE,-2.175,-3.4,-4.24,-0.1975,-0.435,-0.85,-1.06,-0.1975,3D Graphics - HMD VR,7-point,Poor,Each Study,45.92
4,4,4,Is virtual reality emotionally arousing? Investigating five emotion inducing virtual park scenarios,Virtual reality; Presence; Mood induction; Emotion; Physiological measure; Electrodermal activity,120,59,61,,,24.89,4.398,3D Graphics - HMD VR,Unknown,Social Science and psychology,Emotion,German,Not Sure,,,1,Study 1,,120,,,,,,,between-subject,each component,/Mean/SD/,Other,Unknown,No,MANOVA,,Did not find this link between presence and self-reported emotional states. ,1,17,Whole Experiment,Whole Study,No,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,A Felnhofer; OD Kothgassner; M Schmidt�,2015,International journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581915000981,https://scholar.google.com/scholar?cites=13346451287724144593&as_sdt=2005&sciodt=0;5&hl=en,20,43628,,,,,,,,,71,17.75,18,4,4,YES,Emotion,Unknown Scale,0.24166666,0.017261906,TRUE,1.2916666,0.85,-1.85,-0.05,0.25833333,0.2125,-0.4625,-0.05,3D Graphics - HMD VR,7-point,Fair,Each Study,56.24166666
5,5,5,A dose of reality: Overcoming usability challenges in vr head-mounted displays,Virtual Reality; Augmented Virtuality; Engagement,28,,,,,,,3D Graphics - HMD VR,Unknown,Other,Engagement,Not Mentioned,Not Sure,,,3,Study 3,,12,11,1,,,27.8,4.76,within-subject,each component,/Mean/SD/,Other,Unknown,No,Friedman test,Wilcoxon's tests,,1,6,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,M McGill; D Boland; R Murray-Smith�,2015,Proceedings of the 33rd��,dl.acm.org,https://dl.acm.org/citation.cfm?id=2702382,https://scholar.google.com/scholar?cites=4358646427119301496&as_sdt=2005&sciodt=0;5&hl=en,155,43628,,,,,,,,,71,17.75,18,4,4,YES,Engagement,,9.49,0.67785716,TRUE,6.85,1.6933333,0.94666666,1.39,1.37,0.42333332,0.23666666,1.39,3D Graphics - HMD VR,7-point,Good,Each Study,65.49
6,6,6,The relationship between individual characteristics and experienced presence,Individual characteristics; Presence; Cybersickness; Public  speaking  world; Neutral  world;  Stereoscopy,88,53,35,18,70,28,6.3,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual characteristics,Not Mentioned,Not Sure,,90 (whole experiment),1,Study 1,,88,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest;Correlation analyses,,,1,6,Whole Experiment,Whole Study,No,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Y Ling; HT Nefs; WP Brinkman; C Qu�,2013,Computers in Human��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563212003391,https://scholar.google.com/scholar?cites=2034754833935903691&as_sdt=2005&sciodt=0;5&hl=en,42,43628,,,,,,,,,48,8,10,5,6,YES,Individual Characteristics,Unknown Scale,2.07,0.14785714,TRUE,1.95,1.24,-1.12,0.49666664,0.39,0.31,-0.28,0.49666664,3D Graphics - HMD VR,7-point,Fair,Each Study,58.07
7,7,7,Enhanced discrimination between threatening and safe contexts in high-anxious individuals,Trait anxiety; Contextual fear conditioning; Startle reflex; Virtual reality,49,18,31,,,,,3D Graphics - HMD VR,Unknown,Social Science and psychology,,German,Not Sure,,,1,Study 1,,49,9-Sep,15/16,,,22.33/21.32,2.62/1.60,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest;or Chi-square,,,1,-33,Whole Experiment,Whole Study,No,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,E Glotzbach-Schoon; R Tadda; M Andreatta�,2013,Biological��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301051113000239,https://scholar.google.com/scholar?cites=14675337378962400359&as_sdt=2005&sciodt=0;5&hl=en,161,43628,,,,,,,,,47,7.83,12,4,6,YES,,Unknown Scale,-2.365,-0.16892855,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,53.635
8,8,8,Controlling social stress in virtual reality environments,,40,,,,,,,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies,Exposure Therapy,Not Mentioned,Not Sure,,,2,Study 1,12,16,11,5,19,27,22.44,2.42,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,Multivariate and univariate,,,1,6,Whole Experiment,Whole Study,No,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,D Hartanto; IL Kampmann; N Morina�,2014,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0092804,https://scholar.google.com/scholar?cites=7557798653501352733&as_sdt=2005&sciodt=0;5&hl=en,111,43628,HTML,,,,,,,,44,8.8,11,4,5,YES,Exposure Therapy,Only total score,10.44,0.7457143,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Good,Each Study,66.44
8,9,9,Controlling social stress in virtual reality environments,,40,,,,,,,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies,Exposure Therapy,Not Mentioned,Not Sure,,,2,Study 2,19,24,11,13,23,37,29.37,3.28,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,1,6,Whole Experiment,Whole Study,No,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,D Hartanto; IL Kampmann; N Morina�,2014,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0092804,https://scholar.google.com/scholar?cites=7557798653501352733&as_sdt=2005&sciodt=0;5&hl=en,111,43628,HTML,,,,,,,,44,8.8,11,4,5,YES,Exposure Therapy,Only total score,8.17,0.58357143,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Good,Each Study,64.17
9,10,10,Using presence to improve a virtual training environment,,12,12,0,28,56,47.1,8.31,Projection Display,Unknown,Education and training,Virtual Training,Not Mentioned,Not Sure,,,1,Study 1,,12,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,1,6,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,JG Tichon,2007,CyberPsychology & Behavior,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cpb.2007.0005,https://scholar.google.com/scholar?cites=9704841968010122868&as_sdt=2005&sciodt=0;5&hl=en,36,43628,,,,,,,,,44,3.67,44,1,12,YES,Virtual Training,Only total score,8.7,0.62142855,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Good,Each Study,64.7
