paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display
138,148,362,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,12,,5,17,34,23.8,5,within-subject,each component,/Mean//,Chart,After,No,"ANOVA, paired-samples correlations",post hoc analysis with Bonferroni-corrected p,,2,17,Visual,D,No,12,,,,,,2.31,3.08,2.12,2.92,2.72,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,-17.92,-1.28,TRUE,-8.45,-3.68,-7.52,-1.08,-1.69,-0.92,-1.88,-1.08,Projection Display
49,50,125,Evaluation of FlowVR: a virtual reality game for improvement of depressive mood,"virtual reality, depression, mood, therapy, flow",18,9,9,18,55,25.9,10.5,"3D Graphics - Monoscopic,3D Graphics - HMD VR",No sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,5.83,18,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Shapiro-Wilk test; Wilcoxon-Mann-Whitney-Test; Friedman-Test,,,2,6,Condition,Control,No,18,,,,,,1.89,1.93,2.1,1.67,1.94,0.87,1.45,1.05,1.03,0.87,,,,,,1,L Bittner; F Mostajeran; F Steinicke; J Gallinat; S K�hn,2018,bioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/451245v1.abstract,https://scholar.google.com/scholar?cites=9197651944647077710&as_sdt=2005&sciodt=0;5&hl=en,85,43628,,,,,,,,,1,1,0,5,1,YES,Therapy,,-14.84,-1.06,TRUE,-5.55,-4.28,-3.6,-1.33,-1.11,-1.07,-0.9,-1.33,3D Graphics - Monoscopic
138,148,361,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,12,,5,17,34,23.8,5,within-subject,each component,/Mean//,Chart,After,No,"ANOVA, paired-samples correlations",post hoc analysis with Bonferroni-corrected p,,2,17,Visual,C,No,12,,,,,,2.9,2.93,2.31,2.58,2.72,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,-17.92,-1.28,TRUE,-5.5,-4.28,-6.76,-1.42,-1.1,-1.07,-1.69,-1.42,Projection Display
118,126,300,How does interface influence the level of analgesia when Virtual Reality distraction is used?,"virtual reality, pain tolerance, analgesia, virtual environment, thermal stimulation",66,,,,,,,3D Graphics - HMD VR,Stereo sound,"Design and visualization,Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,66,Dec-16,19/19,19/19,30/33,21.77/22.37,,between-subject,each component,/Mean/SD/,Other,After,No,U-Mann Whitney test,,,2,17,Group,BMI,No,31,,,,,,3.01,2.88,1.88,4.16,,1.32,1.19,1.08,1.95,,,,,,,3,J Piskorz; M Czub; K Urbańska; M Mrula…,2014,Polish Journal of …,degruyter.com,https://www.degruyter.com/downloadpdf/j/pjap.2014.12.issue-1/pjap-2015-0003/pjap-2015-0003.xml,https://scholar.google.com/scholar?cites=4707122335806932803&as_sdt=2005&sciodt=0;5&hl=en,343,43676,PDF,,,,,,,,3,0.6,1,5,,YES,Analgesia,Unknown Scale,-17.91,-1.279285714,TRUE,-4.95,-4.48,-8.48,0.16,-0.99,-1.12,-2.12,0.16,3D Graphics - HMD VR
138,148,358,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,12,,5,17,34,23.8,5,within-subject,each component,/Mean//,Chart,After,No,"ANOVA, paired-samples correlations",post hoc analysis with Bonferroni-corrected p,,2,17,Visual,d,No,12,,,,,,3.02,3,2,2.58,2.69,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,-18.34,-1.31,TRUE,-4.9,-4,-8,-1.42,-0.98,-1,-2,-1.42,Projection Display
138,148,357,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,12,,5,17,34,23.8,5,within-subject,each component,/Mean//,Chart,After,No,"ANOVA, paired-samples correlations",post hoc analysis with Bonferroni-corrected p,,2,17,Visual,c,No,12,,,,,,3.08,2.63,2.44,2.33,2.68,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,-18.48,-1.32,TRUE,-4.6,-5.48,-6.24,-1.67,-0.92,-1.37,-1.56,-1.67,Projection Display
26,27,60,Poster: Design and evaluation of 3D content with wind output,,12,11,3,21,31,,,3D Graphics - Monoscopic,Unknown,Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,15,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,"ANOVA,TTest",,,2,17,Visual Output Type,Visual,No,12,,,,,,3.1,3.46,2.56,2.5,,,,,0.3,,,,,,,11,A Lehmann; C Geiger; B Woldecke�,2009,2009 IEEE Symposium��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4811231/,https://scholar.google.com/scholar?cites=18289119672183896209&as_sdt=2005&sciodt=0;5&hl=en,16,43628,,,,,,,,,11,1.1,3,4,10,YES,,CORRECTED: Overall Presence to GP (Confused Presence),-12.42,-0.887142857,TRUE,-4.5,-2.16,-5.76,-1.5,-0.9,-0.54,-1.44,-1.5,3D Graphics - Monoscopic
3,3,9,Influence of personality and individual abilities on the sense of presence experienced in anxiety triggering virtual environments,"Individual differences, Anxiety, Personality, Intelligence, Sense of presence, Virtual reality",210,37,173,18,45,23.19,3.76,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual differences,Not Mentioned,Not Sure,,120,1,Study 1,58,210,Aug-29,60/113,19/18,34/45,22.35/23.58,2.67/4.12,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,3,17,GroupxEmotional,Low test anxietyxNeutral,Yes,142,,,,,,3.15,2.66,2.18,3.12,2.72,1.04,1.23,0.96,1.56,0.88,,,,,,78,I Alsina-Jurnet; J Guti�rrez-Maldonado,2010,International journal of human��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581910000868,https://scholar.google.com/scholar?cites=2159830824679308184&as_sdt=2005&sciodt=0;5&hl=en,57,43628,,,,,,,,,78,8.67,39,2,9,YES,Individual Difference,,-17.92,-1.28,TRUE,-4.25,-5.36,-7.28,-0.88,-0.85,-1.34,-1.82,-0.88,3D Graphics - HMD VR
3,3,7,Influence of personality and individual abilities on the sense of presence experienced in anxiety triggering virtual environments,"Individual differences, Anxiety, Personality, Intelligence, Sense of presence, Virtual reality",210,37,173,18,45,23.19,3.76,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual differences,Not Mentioned,Not Sure,,120,1,Study 1,58,210,Aug-29,60/113,19/18,34/45,22.35/23.58,2.67/4.12,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,3,17,GroupxEmotional,High test anxietyxNeutral,Yes,68,,,,,,3.17,2.78,2.48,3.29,2.87,1.09,1.38,0.92,1.65,1,,,,,,78,I Alsina-Jurnet; J Guti�rrez-Maldonado,2010,International journal of human��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581910000868,https://scholar.google.com/scholar?cites=2159830824679308184&as_sdt=2005&sciodt=0;5&hl=en,57,43628,,,,,,,,,78,8.67,39,2,9,YES,Individual Difference,,-15.82,-1.13,TRUE,-4.15,-4.88,-6.08,-0.71,-0.83,-1.22,-1.52,-0.71,3D Graphics - HMD VR
118,126,301,How does interface influence the level of analgesia when Virtual Reality distraction is used?,"virtual reality, pain tolerance, analgesia, virtual environment, thermal stimulation",66,,,,,,,3D Graphics - HMD VR,Stereo sound,"Design and visualization,Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,66,Dec-16,19/19,19/19,30/33,21.77/22.37,,between-subject,each component,/Mean/SD/,Other,After,No,U-Mann Whitney test,,,2,17,Group,HMI,No,35,,,,,,3.21,3.23,2.08,3.66,,1.25,1.35,1.1,1.92,,,,,,,3,J Piskorz; M Czub; K Urbańska; M Mrula…,2014,Polish Journal of …,degruyter.com,https://www.degruyter.com/downloadpdf/j/pjap.2014.12.issue-1/pjap-2015-0003/pjap-2015-0003.xml,https://scholar.google.com/scholar?cites=4707122335806932803&as_sdt=2005&sciodt=0;5&hl=en,343,43676,PDF,,,,,,,,3,0.6,1,5,,YES,Analgesia,Unknown Scale,-14.71,-1.050714286,TRUE,-3.95,-3.08,-7.68,-0.34,-0.79,-0.77,-1.92,-0.34,3D Graphics - HMD VR
