paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,likert_scale,rating_scale,file,class,class_num,class_sp,class_inv,class_real,class_gp
1,1,1,Does engagement with exposure yield better outcomes? Components of presence as a predictor of treatment response for virtual reality exposure therapy for social,Social anxiety; Virtual reality exposure; Presence,41,24,17,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies,Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA;Multilevel model,,Each component subscales were analysed for the relation between presence and anxiety and associations between presence and treatment response. However; only total score reported.,3,17,Whole Experiment,Whole Study,No,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,Matthew Price; Natasha Mehta; Erin B Tone; Page L Anderson,2011,Journal of anxiety disorders,Elsevier,https://www.sciencedirect.com/science/article/pii/S0887618511000442,https://scholar.google.com/scholar?cites=15287092560747902843&as_sdt=2005&sciodt=0;5&hl=en,5,43628,,,,,,,,,101,12.63,25,4,8,YES,Exposure Therapy,,0.6875,0.04910714,TRUE,0.4275,0.9825,-1.365,0.6425,0.0855,0.245625,-0.34125,0.6425,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
2,2,2,Temporal dynamics in the relation between presence and fear in virtual reality,Virtual reality; Presence; Exposure therapy; Behavioral avoidance test; Anxiety disorders; Specific phobia,22,,22,19,38,25.18,5.58,Projection Display,Unknown,Healthcare and clinical therapies;Social Science and psychology,Exposure therapy,Not Mentioned,Not Sure,,,1,Study 1,41.77/2.24,22,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,Strong correlations between presence and fear on the one-item presence measure assessed immediately after each exposure; but not on the IPQ administered at the end of the entire experiment.,1,6,Whole Experiment,Whole Study,No,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Henrik M. Peperkorn; Julia Diemer; Andreas Mühlberger,2015,Computers in Human Behavior,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563215001260,https://scholar.google.com/scholar?cites=3537788879502462667&as_sdt=2005&sciodt=0;5&hl=en,7,43628,,,,,,,,,30,7.5,10,3,4,YES,Exposure Therapy,,-3.8549998,-0.27535716,TRUE,-1.075,-2.14,-0.64,0.315,-0.215,-0.535,-0.16,0.315,Projection Display,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class V,Class VI
3,3,3,Influence of personality and individual abilities on the sense of presence experienced in anxiety triggering virtual environments,Individual differences; Anxiety; Personality; Intelligence; Sense of presence; Virtual reality,210,37,173,18,45,23.19,3.76,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual differences,Not Mentioned,Not Sure,,120,1,Study 1,58,210,29-Aug,60/113,19/18,34/45,22.35/23.58,2.67/4.12,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,3,17,Whole Experiment,Whole Study,No,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,Ivan Alsina-Jurnet; José Gutiérrez-Maldonado,2010,International Journal of Human-Computer Studies,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581910000868,https://scholar.google.com/scholar?cites=2159830824679308184&as_sdt=2005&sciodt=0;5&hl=en,57,43628,,,,,,,,,78,8.67,39,2,9,YES,Individual Difference,,-10.08,-0.72,TRUE,-2.175,-3.4,-4.24,-0.1975,-0.435,-0.85,-1.06,-0.1975,3D Graphics - HMD VR,7-point,Poor,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
4,4,4,Is virtual reality emotionally arousing? Investigating five emotion inducing virtual park scenarios,Virtual reality; Presence; Mood induction; Emotion; Physiological measure; Electrodermal activity,120,59,61,,,24.89,4.398,3D Graphics - HMD VR,Unknown,Social Science and psychology,Emotion,German,Not Sure,,,1,Study 1,,120,,,,,,,between-subject,each component,/Mean/SD/,Other,Unknown,No,MANOVA,,Did not find this link between presence and self-reported emotional states.,1,17,Whole Experiment,Whole Study,No,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,Anna Felnhofer; Oswald D. Kothgassner; Mareike Schmidt; Anna-Katharina Heinzle; Leon Beutl; Helmut Hlavacs; Ilse Kryspin-Exner,2015,International journal of Human-Computer Studies,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581915000981,https://scholar.google.com/scholar?cites=13346451287724144593&as_sdt=2005&sciodt=0;5&hl=en,20,43628,,,,,,,,,71,17.75,18,4,4,YES,Emotion,Unknown Scale,0.24166666,0.017261906,TRUE,1.2916666,0.85,-1.85,-0.05,0.25833333,0.2125,-0.4625,-0.05,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class VI,Class VI,Class VI
5,5,5,A dose of reality: Overcoming usability challenges in vr head-mounted displays,Virtual Reality; Augmented Virtuality; Engagement,28,,,,,,,3D Graphics - HMD VR,Unknown,Other,Engagement,Not Mentioned,Not Sure,,,1,Study 3,,12,11,1,,,27.8,4.76,within-subject,each component,/Mean/SD/,Other,Unknown,No,Friedman test,Wilcoxon's tests,,1,6,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,Mark McGill; Daniel Boland; Roderick Murray-Smith; Stephen Brewster,2015,CHI '15: Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,dl.acm.org,https://dl.acm.org/citation.cfm?id=2702382,https://scholar.google.com/scholar?cites=4358646427119301496&as_sdt=2005&sciodt=0;5&hl=en,155,43628,,,,,,,,,71,17.75,18,4,4,YES,Engagement,,9.49,0.67785716,TRUE,6.85,1.6933333,0.94666666,1.39,1.37,0.42333332,0.23666666,1.39,3D Graphics - HMD VR,7-point,Good,Each Study,Class V,5,Class IV,Class V,Class IV,Class V
6,6,6,The relationship between individual characteristics and experienced presence,Individual characteristics; Presence; Cybersickness; Public  speaking  world; Neutral  world;  Stereoscopy,88,53,35,18,70,28,6.3,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual characteristics,Not Mentioned,Not Sure,,90 (whole experiment),1,Study 1,,88,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest;Correlation analyses,,,1,6,Whole Experiment,Whole Study,No,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Yun Ling; Harold T.Nefs; Willem-Paul Brinkman; Chao Qu; Ingrid Heynderickx,2013,Computers in Human Behavior,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563212003391,https://scholar.google.com/scholar?cites=2034754833935903691&as_sdt=2005&sciodt=0;5&hl=en,42,43628,,,,,,,,,48,8,10,5,6,YES,Individual Characteristics,Unknown Scale,2.07,0.14785714,TRUE,1.95,1.24,-1.12,0.49666664,0.39,0.31,-0.28,0.49666664,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class V,Class V,Class VI
10,11,11,Effects of different types of virtual reality display on presence and learning in a safety training scenario,Virtual reality; displays; fidelity; training; user study; aviation; safety,96,55,41,18,36,23.81,3.58,3D Graphics - Monoscopic;3D Graphics - HMD VR,Stereo sound,Education and training,Training,Not Mentioned,Not Sure,,,1,Study 1,,96,18/19/18,14/13/14,,,24.53/23.84/23.06,3.82/4.07/2.65,between-subject,each component,/Mean/SD/,Other,After,No,ANCOVA,Bonferroni test,,1,6,Whole Experiment,Whole Study,No,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Fabio Buttussi; Luca Chittaro,2017,IEEE Transactions on Visualization and Computer Graphics,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7817889/,https://scholar.google.com/scholar?cites=1482394720363540760&as_sdt=2005&sciodt=0;5&hl=en,244,43628,,,,,,,,,43,21.5,22,2,2,YES,Training,Report SE,2.8,0.2,TRUE,1.4166666,3.08,-1.7066666,0.023333333,0.28333333,0.77,-0.42666665,0.023333333,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class V,Class VI,Class VI
11,12,12,Effects of stereoscopic viewing on presence; anxiety; and cybersickness in a virtual reality environment for public speaking,Specific phobia; Exposure therapy; Spiders; Virtual reality; Serious games; Gamification,88,53,35,18,70,28,6.3,3D Graphics - HMD VR;Other,Stereo sound,Healthcare and clinical therapies,Exposure therapy,Not Mentioned,Not Sure,,,1,Study 1,17,86,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,TTest,,,1,6,Whole Experiment,Whole Study,No,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Yun Ling; Willem-Paul Brinkman; Harold T. Nefs; Chao Qu and Ingrid Heynderickx,2012,PRESENCE: Virtual and Augmented Reality,MIT Press,https://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00111,https://scholar.google.com/scholar?cites=12450000004622731836&as_sdt=2005&sciodt=0;5&hl=en,27,43628,,,,,,,,,43,6.14,9,5,7,YES,Exposure Therapy,,2.19,0.15642858,TRUE,2.0833333,1.3066666,-1.2,0.5566667,0.41666666,0.32666665,-0.3,0.5566667,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class VI,Class V,Class V,Class VI
12,13,13,Presence within a mixed reality environment,,21,17,4,16,50,,,Projection Display,Unknown,Social Science and psychology,Presence; Mixed reality,Not Mentioned,Not Sure,,,1,Study 1,,21,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Pearson correlations; Spearman correlations,Bonferroni,,1,-33,Whole Experiment,Whole Study,No,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,Paul Van Schaik; Triece Turnbull; Anna Van Wersch; and Sarah Drummond,2004,CyberPsychology & Behavior,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cpb.2004.7.540,https://scholar.google.com/scholar?cites=4422636204725188312&as_sdt=2005&sciodt=0;5&hl=en,67,43628,,,,,,,,,42,2.8,11,4,15,YES,Presence,,0.31,0.022142857,TRUE,3.75,0.40000004,-3.84,0.9499999,0.75,0.10000001,-0.96,0.9499999,Projection Display,7-point,Fair,Each Study,Class VI,6,Class V,Class VI,Class VI,Class V
15,16,16,Brain activity and prosocial behavior in a simulated life-threatening situation,prosocial behavior; virtual reality; gICA; salience network; mPFC,43,13,30,21,30,22.8,,,,Social Science and psychology,Prosocial behavior,Not Mentioned,Not Sure,,,1,Study 1,282.7 (42)/284.1 (93.1)/NA,43,5/7/2001,11/12/2007,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,MANOVA,,,1,-33,Whole Experiment,Whole Study,No,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Marco Zanon; Giovanni Novembre; Nicola Zangrando; Luca Chittaro; Giorgia Silani,2014,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811914003334,https://scholar.google.com/scholar?cites=10501098305181097252&as_sdt=2005&sciodt=0;5&hl=en,73,43628,,,,,,,,,28,5.6,6,5,5,YES,Prosocial Behavior,,2.55,0.18214285,TRUE,3.95,1.22,-2.62,0.585,0.79,0.305,-0.655,0.585,3D Graphics - HMD VR,7-point,Fair,Each Study,Class VI,6,Class V,Class V,Class VI,Class VI
