paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,condition_name,element_name,is_interaction,participant_per_element,original_rating_scale,original_total_sp,original_total_inv,original_total_real,original_total_gp,original_total_overall,original_mean_sp,original_mean_inv,original_mean_real,original_mean_gp,original_mean_overall,standard_rating_scale,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,is_scale_recover,scale_note,report_type,ranking_class,sp_ranking_class,inv_ranking_class,real_ranking_class,gp_ranking_class
3,3,,Affective state recognition in Virtual Reality from electromyography and photoplethysmography using head-mounted wearable sensors.,[],67,5,62,,,19.78,2.51,"[""3D Graphics - Monoscopic""]","[""Unknown""]","[""Design and visualization"",""Healthcare and clinical therapies"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,67,5,62,,,19.78,2.51,"""within-subject""","""each component""",Each Condition,"""Other""","[""Unknown""]",No,"[""Friedman\u2019s related-samples ANOVA""]","""""","""""",1,,,No,,-33,2.2,2.24,1.68,2.25,12.88,0.44,0.56,0.42,2.25,0.92,-33,12.88,0.92,Yes,2.2,2.24,1.68,2.25,0.44,0.56,0.42,2.25,,1,I Mavridou,2021,,eprints.bournemouth.ac.uk,http://eprints.bournemouth.ac.uk/35917/,"https://scholar.google.com/scholar?cites=7187608577962781910&as_sdt=2005&sciodt=0,5&hl=en",263,45077.70486,,,,,,,,,1,0.5,1,1,2,,,,,,,Class High,Class Low,Class Moderate,Class High,Class Exceptional
4,4,,Analgesic and Anxiolytic Effects of Virtual Reality During Minor Procedures in an Emergency Department: A Randomized Controlled Study,[],131,84,,,,43.5,17.2,"[""3D Graphics - Monoscopic"",""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Education and training"",""Healthcare and clinical therapies"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,131,84,,,,43.5,17.2,"""between-subject""","""each component""",Each Condition,"""Other""","[""Unknown""]",No,[],"""""","""VR induced a higher sense of telepresence and a greater degree of dissociation than the 2D screen.""",1,,,No,,06,15.3,10.36,10.52,2.94,39.2,3.06,2.59,2.63,2.94,2.8,-33,-2.8,-0.2,Yes,0.3,-1.64,-1.48,-0.06,0.06,-0.41,-0.37,-0.06,,2,"L Bosso, T Espejo, P Taffé, D Caillet-Bois…",2023,Annals of Emergency …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0196064422002645,"https://scholar.google.com/scholar?cites=10329099834529208517&as_sdt=2005&sciodt=0,5&hl=en",108,5/31/2023 16:53,HTML,,,,,,,,2,2,0,5,1,,,,,,,Class Low,Class Low,Class Low,Class Moderate,Class Low
6,6,,"Pseudo-Wind Perception Induced by Cross-Modal Reproduction of Thermal, Vibrotactile, Visual, and Auditory Stimuli",[],16,11,5,,,24.1,,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""Using scale from 1 to 5""",,1,"""Study 1""",,16,11,5,,,24.1,,"""within-subject""","""each component""",Each Condition Interaction,"""Chart""","[""After""]",No,"[""Friedman test with Bonferroni procedure""]","""""","""""",1,,,Yes,,15,14.45,10.72,9.48,2.73,37.38,2.89,2.68,2.37,2.73,2.67,-33,-6.86,-0.5,Yes,-0.85,-1.92,-3.76,-0.4,-0.16,-0.48,-0.94,-0.4,,1,"J Hosoi, Y Ban, K Ito, S Warisawa",2023,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10015754/,"https://scholar.google.com/scholar?cites=1816177431395999834&as_sdt=2005&sciodt=0,5&hl=en",171,5/31/2023 16:53,,,,,,,,,1,1,0,4,1,,,,Yes,,,Class Low,Class Low,Class Low,Class Low,Class Low
7,7,,What does it mean to cycle in Virtual Reality? Exploring Cycling Fidelity and Control of VR Bicycle Simulators,"[""virtual reality"","" cycling"","" locomotion"","" bicycle simulators""]",24,17,7,,,24.79,3.72,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Entertainment and game"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,24,17,7,,,24.79,3.72,"""within-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,"[""ANOVA""]","""""",""" Our analysis has shown that our cycling setups induced a comparable level of presence in the virtual environments, given no statistically significant differences (p \u003E 0.05) for the general presence and all subscales""",1,,,No,,17,14.65,15.48,9.2,5.17,49.98,2.93,3.87,2.3,5.17,3.57,-33,-6.02,-0.43,Yes,-5.35,-0.52,-6.8,1.17,-1.07,-0.13,-1.7,1.17,,1,"A Matviienko, H Hoxha, M Mühlhäuser",2023,… of the 2023 CHI Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3544548.3581050,"https://scholar.google.com/scholar?cites=12978172171759546258&as_sdt=2005&sciodt=0,5&hl=en",39,5/31/2023 16:53,,10.1145/3544548.3581050,,,,,,,1,1,0,3,1,,,,,,,Class Low,Class Low,Class Low,Class Low,Class Moderate
8,9,,Acquisition and Retention of Spatial Knowledge through Virtual Reality Experiences: Effects of VR Setup and Locomotion Technique,[],,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,2,"""Study 2""",,72,38,34,19,29,22.90,1.99,"""between-subject""","""each component""",Each Condition Interaction,"""Other""","[""After""]",No,"[""ANOVA""]","""""","""""",1,,,Yes,,06,17.6,14.08,10.72,3.55,46.48,3.52,3.52,2.68,3.55,3.32,-33,4.48,0.32,Yes,2.6,2.08,-1.28,0.55,0.52,0.52,-0.32,0.55,,0,"F Buttussi, L Chittaro",2023,International Journal of Human-Computer Studies,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581923000769,,88,5/31/2023 16:53,HTML,,,,,,,,0,0,0,2,1,,,,,,,Class Moderate,Class Low,Class Moderate,Class Moderate,Class Low
9,10,,An Immersive Geometry Environment for Mathematics Education: Taxonomy and Preliminary Evaluation,[],13,10,3,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""5-point scales ranging from 1 to 5""",,1,"""Study 1""",,13,10,3,,,,,"""within-subject""","""each component""",Whole Study,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,15,22,13.6,11.2,4.5,52.92,4.4,3.4,2.8,4.5,3.78,-33,16.38,1.17,Yes,10.5,2.4,-1.2,2.25,2.1,0.6,-0.3,2.25,,0,"LA Thomsen, NC Nilsson, R Nordahl…",2023,… IEEE Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10108580/,,227,5/31/2023 16:53,,,,,,,,,0,0,0,4,1,,,,Yes,,,Class Very High,Class Exceptional,Class Moderate,Class Moderate,Class Exceptional
10,11,,"Effects of the Visual Fidelity of Virtual Environments on Presence, Context-dependent Forgetting, and Source-monitoring Error","[""Environmental context"","" context-dependent forgetting"","" source monitoring"","" episodic memory"","" visual quality"","" presence"","" virtual reality""]",36,27,9,,,25.2,5.22,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,36,27,9,,,25.2,5.22,"""within-subject""","""each component""",Each Condition,"""Chart""","[""Unknown""]",No,"[""Wilcoxon signed-rank test""]","""""","""""",1,,,No,,17,26.1,17.6,14.8,5.15,64.68,5.22,4.4,3.7,5.15,4.62,-33,8.68,0.62,Yes,6.1,1.6,-1.2,1.15,1.22,0.4,-0.3,1.15,,0,"T Mizuho, T Narumi, H Kuzuoka",2023,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10049736/,,156,5/31/2023 16:53,,,,,,,,,0,0,0,3,1,,,,,,,Class Moderate,Class Moderate,Class Moderate,Class Moderate,Class Moderate
11,12,,"Evaluation of drive-off procedures in dynamic driving simulators: Multisensory cues, interaction and sense of presence","[""Dynamic driving simulator"","" Driving dynamics"","" Drive-off procedure"","" Multisensory cues"","" Sense of presence"","" Immersion""]",75,67,9,,,,,"[""3D Graphics - Monoscopic""]","[""Stereo sound""]","[""Design and visualization"",""Interaction techniques""]","""""","[""German"",""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,75,67,9,,,,,"""between-subject""","""each component""",Each Condition,"""Chart""","[""After""]",No,"[""Kruskal-Wallis test""]","""Dunn- Bonferroni tests with Bonferroni p-value adjustments""","""""",1,,,No,,06,16.9,12.32,10.88,3.56,44.52,3.38,3.08,2.72,3.56,3.18,-33,2.52,0.18,Yes,1.9,0.32,-1.12,0.56,0.38,0.08,-0.28,0.56,,0,"E Kraft, P He, S Rinderknecht",2023,… Research Part F: Traffic Psychology and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1369847823000700,,104,5/31/2023 16:53,HTML,,,,,,,,0,0,0,3,1,,,,,,,Class Low,Class Low,Class Low,Class Moderate,Class Low
12,13,,FingerMapper: Mapping Finger Motions onto Virtual Arms to Enable Safe Virtual Reality Interaction in Confined Spaces,"[""FingerMapper"","" Confined Spaces"","" Body Re-Association in VR""]",,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Yes""","""There are two studies but only one study using IPQ, another one used SUS""",,1,"""Study 1""",,13,8,5,,,26.3,3.4,"""within-subject""","""each component""",Each Condition,"""Chart""","[""After""]",No,[],"""""","""""",1,,,No,,17,22.15,16.56,13.92,4.8,58.94,4.43,4.14,3.48,4.8,4.21,-33,2.94,0.21,Yes,2.15,0.56,-2.08,0.8,0.43,0.14,-0.52,0.8,,0,"WJ Tseng, S Huron, E Lecolinet…",2023,Proceedings of the 2023 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3544548.3580736,,103,5/31/2023 16:53,,10.1145/3544548.3580736,,,,,,,0,0,0,4,1,,,,,,,Class Low,Class Low,Class Low,Class Low,Class Low
13,14,,GroundFlow: Liquid-based Haptics for Simulating Fluid on the Ground in Virtual Reality,"[""liquid-based haptic"","" floor-based haptic"","" multiple fluid feedback"","" virtual reality""]",18,,9,21,29,24.3,1.98,"[""3D Graphics - HMD VR/MR""]","[""No sound""]","[""Design and visualization""]","""""","[""Not Mentioned""]","""Not Sure""","""Three study but only one used the IPQ""",,1,"""Study 1""",,18,,9,21,29,24.3,1.98,"""within-subject""","""each component""",Each Condition,"""Other""","[""After""]",No,[],"""""","""""",1,,,No,,06,23.8,19.72,15.96,5.19,66.08,4.76,4.93,3.99,5.19,4.72,-33,24.08,1.72,Yes,8.8,7.72,3.96,2.19,1.76,1.93,0.99,2.19,,0,"PH Han, TH Wang, CH Chou",2023,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10054238/,,172,5/31/2023 16:53,,,,,,,,,0,0,0,3,1,,,,,,,Class Exceptional,Class Very High,Class Exceptional,Class Exceptional,Class Exceptional
