paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,condition_name,element_name,is_interaction,participant_per_element,original_rating_scale,original_total_sp,original_total_inv,original_total_real,original_total_gp,original_total_overall,original_mean_sp,original_mean_inv,original_mean_real,original_mean_gp,original_mean_overall,standard_rating_scale,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,is_scale_recover,scale_note,report_type,ranking_class,sp_ranking_class,inv_ranking_class,real_ranking_class,gp_ranking_class
2,2,,Acceptability and Tolerability of Omnidirectional Virtual Reality Exposure Therapy for Generalized Social Anxiety Disorder,[],36,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Healthcare and clinical therapies"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""Combine Spatial Presence so Scale Range from 7-42 while the general score range is between 7-98""",,1,"""Study 1""",,36,,,,,,,"""between-subject""","""whole questionnaire""","""TotalScore//SD/""","""Other""","[""After""]",No,[],"""""","""""",1,,,No,,17,-99999,-99999,-99999,-99999,56.28,-99999,-99999,-99999,-99999,4.02,-33,0.28,0.02,No,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3D Graphics - HMD VR/MR,0,A Saxena,2021,,search.proquest.com,https://search.proquest.com/openview/2771a6c4328f2d7b64a359481afa9ce6/1?pq-origsite=gscholar&cbl=18750&diss=y,,377,45077.70486,HTML,,,,,,,,0,0,0,1,2,,,,,,,Class Low,,,,
4,4,,Analgesic and Anxiolytic Effects of Virtual Reality During Minor Procedures in an Emergency Department: A Randomized Controlled Study,[],131,84,,,,43.5,17.2,"[""3D Graphics - Monoscopic"",""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Education and training"",""Healthcare and clinical therapies"",""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,131,84,,,,43.5,17.2,"""between-subject""","""each component""","""/Mean/SD/""","""Other""","[""Unknown""]",No,[],"""""","""VR induced a higher sense of telepresence and a greater degree of dissociation than the 2D screen.""",1,,,No,,06,19,11.2,12,4,47.6,3.8,2.8,3,4,3.4,-33,5.6,0.4,Yes,4,-0.8,0,1,0.8,-0.2,0,1,3D Graphics - HMD VR/MR,2,"L Bosso, T Espejo, P Taffé, D Caillet-Bois…",2023,Annals of Emergency …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0196064422002645,"https://scholar.google.com/scholar?cites=10329099834529208517&as_sdt=2005&sciodt=0,5&hl=en",108,5/31/2023 16:53,HTML,,,,,,,,2,2,0,5,1,,,,,,,Class Moderate,,,,
5,5,,Effects of exposure to immersive computer-generated virtual nature and control environments on affect and cognition,[],27,,12,21,59,28.15,8.27,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Social Science and psychology""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,27,,12,21,59,28.15,8.27,"""within-subject""","""whole questionnaire""","""/Mean/SD/""","""Other""","[""After""]",No,"[""a paired one-tailed t-test""]","""""","""We observed significantly higher levels of perceived sense of presence after the virtual computer-generated nature environment compared to the virtual control environment.""",1,,,No,,06,-99999,-99999,-99999,-99999,45.5,-99999,-99999,-99999,-99999,3.25,-33,3.5,0.25,No,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3D Graphics - HMD VR/MR,1,"F Mostajeran, M Fischer, F Steinicke, S Kühn",2023,Scientific Reports,nature.com,https://www.nature.com/articles/s41598-022-26750-6,"https://scholar.google.com/scholar?cites=17748080879599908118&as_sdt=2005&sciodt=0,5&hl=en",73,5/31/2023 16:53,HTML,,,,,,,,1,1,0,4,1,,,,,,,Class Low,,,,
6,6,,"Pseudo-Wind Perception Induced by Cross-Modal Reproduction of Thermal, Vibrotactile, Visual, and Auditory Stimuli",[],16,11,5,,,24.1,,"[""3D Graphics - HMD VR/MR""]","[""Stereo sound""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""Using scale from 1 to 5""",,1,"""Study 1""",,16,11,5,,,24.1,,"""within-subject""","""each component""","""/Mean/SD/""","""Chart""","[""After""]",No,"[""Friedman test with Bonferroni procedure""]","""""","""""",1,,,Yes,,15,14.45,10.72,9.48,2.73,37.38,2.89,2.68,2.37,2.73,2.67,-33,-6.86,-0.5,Yes,-0.85,-1.92,-3.76,-0.4,-0.16,-0.48,-0.94,-0.4,3D Graphics - HMD VR/MR,1,"J Hosoi, Y Ban, K Ito, S Warisawa",2023,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10015754/,"https://scholar.google.com/scholar?cites=1816177431395999834&as_sdt=2005&sciodt=0,5&hl=en",171,5/31/2023 16:53,,,,,,,,,1,1,0,4,1,,,,Yes,,,Class Low,,,,
7,7,,What does it mean to cycle in Virtual Reality? Exploring Cycling Fidelity and Control of VR Bicycle Simulators,"[""virtual reality"","" cycling"","" locomotion"","" bicycle simulators""]",24,17,7,,,24.79,3.72,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Entertainment and game"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,24,17,7,,,24.79,3.72,"""within-subject""","""each component""","""/Mean//""","""Other""","[""After""]",No,"[""ANOVA""]","""""",""" Our analysis has shown that our cycling setups induced a comparable level of presence in the virtual environments, given no statistically significant differences (p \u003E 0.05) for the general presence and all subscales""",1,,,No,,17,14.65,15.48,9.2,5.17,49.98,2.93,3.87,2.3,5.17,3.57,-33,-6.02,-0.43,Yes,-5.35,-0.52,-6.8,1.17,-1.07,-0.13,-1.7,1.17,3D Graphics - HMD VR/MR,1,"A Matviienko, H Hoxha, M Mühlhäuser",2023,… of the 2023 CHI Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3544548.3581050,"https://scholar.google.com/scholar?cites=12978172171759546258&as_sdt=2005&sciodt=0,5&hl=en",39,5/31/2023 16:53,,10.1145/3544548.3581050,,,,,,,1,1,0,3,1,,,,,,,Class Low,,,,
8,8,,Acquisition and Retention of Spatial Knowledge through Virtual Reality Experiences: Effects of VR Setup and Locomotion Technique,[],,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,2,"""Study 1""",,127,107,20,20,31,21.83,1.70,"""between-subject""","""whole questionnaire""","""/Mean//""","""Other""","[""After""]",No,"[""ANOVA""]","""""","""""",1,,,Yes,,06,-99999,-99999,-99999,-99999,43.12,-99999,-99999,-99999,-99999,3.08,-33,1.12,0.08,No,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3D Graphics - HMD VR/MR,0,"F Buttussi, L Chittaro",2023,International Journal of Human-Computer Studies,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581923000769,,88,5/31/2023 16:53,HTML,,,,,,,,0,0,0,2,1,,,,,,,Class Low,,,,
8,9,,Acquisition and Retention of Spatial Knowledge through Virtual Reality Experiences: Effects of VR Setup and Locomotion Technique,[],,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,2,"""Study 2""",,72,38,34,19,29,22.90,1.99,"""between-subject""","""each component""","""/Mean/SD/""","""Other""","[""After""]",No,"[""ANOVA""]","""""","""""",1,,,Yes,,06,17.6,14.08,10.72,3.55,46.48,3.52,3.52,2.68,3.55,3.32,-33,4.48,0.32,Yes,2.6,2.08,-1.28,0.55,0.52,0.52,-0.32,0.55,3D Graphics - HMD VR/MR,0,"F Buttussi, L Chittaro",2023,International Journal of Human-Computer Studies,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581923000769,,88,5/31/2023 16:53,HTML,,,,,,,,0,0,0,2,1,,,,,,,Class Low,,,,
9,10,,An Immersive Geometry Environment for Mathematics Education: Taxonomy and Preliminary Evaluation,[],13,10,3,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""5-point scales ranging from 1 to 5""",,1,"""Study 1""",,13,10,3,,,,,"""within-subject""","""each component""","""/Mean/SD/""","""Other""","[""After""]",No,[],"""""","""""",1,,,No,,15,22,13.6,11.2,4.5,52.92,4.4,3.4,2.8,4.5,3.78,-33,16.38,1.17,Yes,10.5,2.4,-1.2,2.25,2.1,0.6,-0.3,2.25,3D Graphics - HMD VR/MR,0,"LA Thomsen, NC Nilsson, R Nordahl…",2023,… IEEE Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10108580/,,227,5/31/2023 16:53,,,,,,,,,0,0,0,4,1,,,,Yes,,,Class Very High,,,,
10,11,,"Effects of the Visual Fidelity of Virtual Environments on Presence, Context-dependent Forgetting, and Source-monitoring Error","[""Environmental context"","" context-dependent forgetting"","" source monitoring"","" episodic memory"","" visual quality"","" presence"","" virtual reality""]",36,27,9,,,25.2,5.22,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Education and training""]","""""","[""Not Mentioned""]","""Not Sure""","""""",,1,"""Study 1""",,36,27,9,,,25.2,5.22,"""within-subject""","""each component""","""/Mean//""","""Chart""","[""Unknown""]",No,"[""Wilcoxon signed-rank test""]","""""","""""",1,,,No,,17,26.1,17.6,14.8,5.15,64.68,5.22,4.4,3.7,5.15,4.62,-33,8.68,0.62,Yes,6.1,1.6,-1.2,1.15,1.22,0.4,-0.3,1.15,3D Graphics - HMD VR/MR,0,"T Mizuho, T Narumi, H Kuzuoka",2023,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10049736/,,156,5/31/2023 16:53,,,,,,,,,0,0,0,3,1,,,,,,,Class Moderate,,,,
12,13,,FingerMapper: Mapping Finger Motions onto Virtual Arms to Enable Safe Virtual Reality Interaction in Confined Spaces,"[""FingerMapper"","" Confined Spaces"","" Body Re-Association in VR""]",,,,,,,,"[""3D Graphics - HMD VR/MR""]","[""Unknown""]","[""Design and visualization"",""Interaction techniques""]","""""","[""Not Mentioned""]","""Yes""","""There are two studies but only one study using IPQ, another one used SUS""",,1,"""Study 1""",,13,8,5,,,26.3,3.4,"""within-subject""","""each component""","""/Mean/SD/""","""Chart""","[""After""]",No,[],"""""","""""",1,,,No,,17,22.15,16.56,13.92,4.8,58.94,4.43,4.14,3.48,4.8,4.21,-33,2.94,0.21,Yes,2.15,0.56,-2.08,0.8,0.43,0.14,-0.52,0.8,3D Graphics - HMD VR/MR,0,"WJ Tseng, S Huron, E Lecolinet…",2023,Proceedings of the 2023 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3544548.3580736,,103,5/31/2023 16:53,,10.1145/3544548.3580736,,,,,,,0,0,0,4,1,,,,,,,Class Low,,,,
