research_id,113,,,,,,,,,,,,,,,,
experiment_design,within-subject,,,,,,,,,,,,,,,,
number_of_experimental_conditions,2,,,,,,,,,,,,,,,,
number_of_participants,20,,,,,,,,,,,,,,,,
number_of_entries,20,,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,
participant_id,visual_display,experimental_condition,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,date
1,3D - Monoscopic,A,-1,-2,-2,-1,-1,0,1,0,1,0,-2,-2,-1,2,
2,3D - Monoscopic,A,0,-2,-2,1,2,1,-2,-3,-3,3,1,3,0,-1,
3,3D - Monoscopic,A,-3,3,-1,0,0,-2,-2,-1,0,-2,0,2,-2,1,
4,3D - Monoscopic,A,3,-3,1,3,3,2,-3,-1,1,3,3,-2,1,3,
5,3D - Monoscopic,A,-1,1,3,3,-1,-2,-3,1,2,0,0,1,2,3,
6,3D - Monoscopic,A,0,2,1,1,2,2,0,2,0,-3,0,1,1,-2,
7,3D - Monoscopic,A,2,-1,-2,3,-1,-2,2,-2,-3,-1,0,-3,1,-3,
8,3D - Monoscopic,A,-2,-3,-2,-3,1,0,2,1,-2,3,-3,-3,0,-1,
9,3D - Monoscopic,A,2,-1,-2,3,-1,-2,2,-2,-3,-1,0,-3,1,-3,
10,3D - Monoscopic,A,-2,-3,-2,-3,1,0,2,1,-2,3,-3,-3,0,-1,
1,3D - Monoscopic,B,-1,1,-3,2,2,-1,3,3,-2,1,-2,0,-2,-1,
2,3D - Monoscopic,B,3,3,-3,-2,1,-1,-3,3,0,1,2,1,-1,3,
3,3D - Monoscopic,B,2,-1,-1,3,-2,3,1,0,-3,-2,-2,-2,1,1,
4,3D - Monoscopic,B,2,2,1,-2,-3,-3,-1,-2,-2,-3,-2,-1,2,0,
5,3D - Monoscopic,B,-2,-2,1,3,1,1,1,-2,-1,-1,2,2,3,-2,
6,3D - Monoscopic,B,1,-3,2,0,3,2,-2,2,-2,2,1,-1,-1,0,
7,3D - Monoscopic,B,2,-2,-1,2,3,3,-1,3,3,1,3,0,-1,-1,
8,3D - Monoscopic,B,1,-1,0,3,-2,2,3,2,-1,3,1,-3,2,-2,
9,3D - Monoscopic,B,-1,1,-3,2,2,-1,3,3,-2,1,-2,0,-2,-1,
10,3D - Monoscopic,B,3,3,-3,-2,1,-1,-3,3,0,1,2,1,-1,3,
